location,total_new_cases
Africa,6115390
Asia,57582227
Europe,50064263
European Union,33655757
International,721
North America,40286241
Oceania,65690
South America,34335597
World,188450148
Northern Cyprus,0
Timor,9997
Iraq,1466529
Nepal,662570
United Arab Emirates,656354
Pakistan,983719
Bangladesh,1071774
Jordan,759686
Philippines,1490665
India,31026829
Uzbekistan,117902
Azerbaijan,337801
Bahrain,267619
Brunei,282
Iran,3464055
Singapore,62852
Syria,25814
Oman,289042
South Korea,175045
Palestine,315504
Laos,3092
Hong Kong,11955
Turkmenistan,0
Malaysia,880782
Qatar,223911
Saudi Arabia,503734
Myanmar,212545
Lebanon,549427
Taiwan,15345
Japan,831619
China,91690
Georgia,382734
Afghanistan,137853
Cambodia,64611
Bhutan,2380
Mongolia,144492
Israel,849274
Kazakhstan,536089
Maldives,75622
Turkey,4684230
Macao,0
Kuwait,382084
Armenia,226949
Sri Lanka,280543
Thailand,372211
Yemen,6967
Tajikistan,14000
Kyrgyzstan,144958
Indonesia,2726803
Vietnam,42288
Saint Helena,0
Democratic Republic of Congo,45211
Congo,12933
Guinea,24298
Kenya,191020
Namibia,109356
Libya,214568
Burundi,5764
Gambia,6610
Eswatini,20693
Niger,5555
Liberia,5306
South Sudan,10917
Lesotho,12153
Chad,4959
Mozambique,94733
Tanzania,509
Zambia,182129
Cote d'Ivoire,48999
Sao Tome and Principe,2400
Senegal,48270
Sudan,36986
Cape Verde,33180
Mauritius,1858
Mali,14496
Uganda,89080
Guinea-Bissau,3998
Togo,14426
Comoros,4002
Equatorial Guinea,8828
Djibouti,11622
Malawi,41498
Nigeria,169074
Sierra Leone,6122
Ghana,98114
Gabon,25245
Algeria,149906
Seychelles,17005
Tunisia,526487
Burkina Faso,13530
Madagascar,42479
Zimbabwe,78872
Morocco,549844
Central African Republic,7142
Eritrea,6382
Mauritania,22187
Rwanda,51625
Egypt,283490
South Africa,2253240
Angola,40530
Somalia,15081
Benin,8244
Cameroon,80858
Ethiopia,277443
Botswana,86133
Andorra,14239
Faeroe Islands,0
Gibraltar,0
Guernsey,0
Isle of Man,0
Jersey,0
Kosovo,107883
Liechtenstein,3061
Monaco,2655
San Marino,5094
Vatican,27
Albania,132629
France,6244120
Croatia,361218
Bosnia and Herzegovina,205267
Slovenia,258045
Sweden,1093923
Romania,1081467
Lithuania,279488
Spain,4069162
Malta,31834
Austria,652660
Ukraine,2314828
Hungary,808661
Latvia,138041
Italy,4278319
Belarus,431112
Denmark,304439
United Kingdom,5301296
Finland,99212
Cyprus,88457
Iceland,6555
Czechia,1670348
Greece,450512
Belgium,1102069
Poland,2881151
Portugal,920200
Ireland,280784
Estonia,131681
Bulgaria,422797
Serbia,718093
Slovakia,392000
Netherlands,1794158
Luxembourg,72632
Norway,133876
Germany,3748379
Montenegro,100567
North Macedonia,155866
Switzerland,707357
Moldova,257766
Russia,5810335
Cook Islands,0
Marshall Islands,4
Nauru,0
Niue,0
Pitcairn,0
Tuvalu,0
Wallis and Futuna,0
Samoa,3
Micronesia (country),1
Kiribati,2
New Caledonia,0
Australia,31626
New Zealand,2804
Vanuatu,4
French Polynesia,0
Papua New Guinea,17340
Fiji,13886
Tonga,0
Solomon Islands,20
Anguilla,0
Bermuda,0
Bonaire Sint Eustatius and Saba,0
British Virgin Islands,0
Cayman Islands,0
Dominica,199
Greenland,0
Montserrat,0
Saint Kitts and Nevis,544
Sint Maarten (Dutch part),0
Turks and Caicos Islands,0
Belize,13644
Saint Lucia,5455
Panama,419829
Canada,1429747
Bahamas,13274
United States,33975641
Grenada,161
Jamaica,50913
Guatemala,327755
Honduras,277974
Barbados,4230
Trinidad and Tobago,35428
Dominican Republic,336144
El Salvador,82605
Aruba,0
Curacao,0
Antigua and Barbuda,1267
Haiti,19374
Nicaragua,8767
Mexico,2629648
Cuba,263086
Saint Vincent and the Grenadines,2258
Costa Rica,388298
Falkland Islands,0
Venezuela,289362
Paraguay,442207
Brazil,19262518
Chile,1594496
Bolivia,459579
Argentina,4719952
Ecuador,472722
Peru,2088143
Colombia,4583442
Suriname,23861
Guyana,21274
Uruguay,378041